GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Shot Distance (8ft),Less Than 8 ft.,1717,2708,0.634,0,0,0.0,0.634,263,0.689,0.311,0.0,0.0,0.689,0.311,1,1,1,3,3,3,1,5,1,3,2,3,2,4,172,Less Than 8 ft.
Shot Distance (8ft),8-16 ft.,401,947,0.423,0,0,0.0,0.423,27,0.519,0.481,0.0,0.0,0.519,0.481,4,3,3,3,3,3,4,4,3,1,2,3,4,2,172,8-16 ft.
Shot Distance (8ft),16-24 ft.,432,923,0.468,0,0,0.0,0.468,6,0.65,0.35,0.0,0.0,0.65,0.35,3,4,2,3,3,3,3,2,2,2,2,3,3,3,172,16-24 ft.
Shot Distance (8ft),24+ ft.,980,2527,0.388,980,2527,0.388,0.582,17,0.0,0.0,0.835,0.165,0.835,0.165,2,2,4,1,1,1,2,3,4,4,1,2,1,5,172,24+ ft.
Shot Distance (8ft),Back Court Shot,1,34,0.029,1,34,0.029,0.044,0,0.0,0.0,0.0,1.0,0.0,1.0,5,5,5,2,2,2,5,1,4,4,2,1,5,1,172,Back Court Shot
