GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Shot Distance (5ft),Less Than 5 ft.,1604,2440,0.657,0,0,0.0,0.657,241,0.702,0.298,0.0,0.0,0.702,0.298,1,1,1,5,6,5,1,9,1,5,4,5,3,6,171,Less Than 5 ft.
Shot Distance (5ft),5-9 ft.,186,452,0.412,0,0,0.0,0.412,31,0.495,0.505,0.0,0.0,0.495,0.505,6,6,5,5,6,5,7,8,5,1,4,5,6,3,171,5-9 ft.
Shot Distance (5ft),10-14 ft.,271,634,0.427,0,0,0.0,0.427,18,0.513,0.487,0.0,0.0,0.513,0.487,5,5,3,5,6,5,6,7,4,2,4,5,5,4,171,10-14 ft.
Shot Distance (5ft),15-19 ft.,384,834,0.46,0,0,0.0,0.46,5,0.672,0.328,0.0,0.0,0.672,0.328,4,4,2,5,6,5,5,4,2,4,4,5,4,5,171,15-19 ft.
Shot Distance (5ft),20-24 ft.,485,1150,0.422,380,932,0.408,0.587,10,0.543,0.457,0.897,0.103,0.821,0.179,3,3,4,2,2,1,2,6,3,3,1,4,1,8,171,20-24 ft.
Shot Distance (5ft),25-29 ft.,585,1547,0.378,585,1547,0.378,0.567,8,0.0,0.0,0.805,0.195,0.805,0.195,2,2,6,1,1,2,3,5,6,6,2,3,2,7,171,25-29 ft.
Shot Distance (5ft),30-34 ft.,15,43,0.349,15,43,0.349,0.523,0,0.0,0.0,0.4,0.6,0.4,0.6,7,7,7,3,3,3,4,1,6,6,3,2,7,2,171,30-34 ft.
Shot Distance (5ft),35-39 ft.,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,9,5,5,5,9,1,6,6,4,5,8,9,171,35-39 ft.
Shot Distance (5ft),40+ ft.,1,37,0.027,1,37,0.027,0.041,0,0.0,0.0,0.0,1.0,0.0,1.0,8,8,8,4,4,4,8,1,6,6,4,1,8,1,171,40+ ft.
