GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Shot Type,Putback Layup Shot,31,42,0.738,0,0,0.0,0.738,4,0.0,1.0,0.0,0.0,0.0,1.0,23,24,20,11,13,11,22,40,40,1,11,8,41,1,174,Putback Layup Shot
Shot Type,Reverse Dunk Shot,7,7,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,39,40,1,11,13,11,1,1,1,40,11,8,1,40,174,Reverse Dunk Shot
Shot Type,Reverse Layup Shot,42,64,0.656,0,0,0.0,0.656,3,0.905,0.095,0.0,0.0,0.905,0.095,21,21,27,11,13,11,29,36,10,38,11,8,10,38,174,Reverse Layup Shot
Shot Type,Running Alley Oop Dunk Shot,11,11,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,37,38,1,11,13,11,1,1,1,40,11,8,1,40,174,Running Alley Oop Dunk Shot
Shot Type,Running Dunk Shot,87,92,0.946,0,0,0.0,0.946,1,0.805,0.195,0.0,0.0,0.805,0.195,10,17,7,11,13,11,7,24,11,37,11,8,12,36,174,Running Dunk Shot
Shot Type,Running Finger Roll Layup Shot,23,27,0.852,0,0,0.0,0.852,0,0.391,0.609,0.0,0.0,0.391,0.609,28,31,13,11,13,11,15,1,35,13,11,8,36,12,174,Running Finger Roll Layup Shot
Shot Type,Running Jump Shot,80,116,0.69,56,76,0.737,0.931,5,0.458,0.542,0.643,0.357,0.588,0.413,11,13,24,3,4,5,9,41,30,18,7,4,24,24,174,Running Jump Shot
Shot Type,Running Layup Shot,116,161,0.72,0,0,0.0,0.72,8,0.552,0.448,0.0,0.0,0.552,0.448,7,7,21,11,13,11,23,46,23,25,11,8,25,23,174,Running Layup Shot
Shot Type,Running Pull-Up Jump Shot,10,26,0.385,6,20,0.3,0.5,0,0.0,1.0,0.167,0.833,0.1,0.9,38,32,45,5,5,9,41,1,40,1,10,1,40,8,174,Running Pull-Up Jump Shot
Shot Type,Running Reverse Dunk Shot,2,2,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,44,45,1,11,13,11,1,1,1,40,11,8,1,40,174,Running Reverse Dunk Shot
