GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS
Shot Area,Restricted Area,1559,2328,0.67,0,0,0.0,0.67,219,0.706,0.294,0.0,0.0,0.706,0.294,1,1,1,5,5,5,1,7,1,3,4,5,4,4,173,Restricted Area
Shot Area,In The Paint (Non-RA),353,807,0.437,0,0,0.0,0.437,58,0.516,0.484,0.0,0.0,0.516,0.484,4,4,3,5,5,5,6,6,3,1,4,5,6,2,173,In The Paint (Non-RA)
Shot Area,Mid-Range,638,1443,0.442,0,0,0.0,0.442,19,0.611,0.389,0.0,0.0,0.611,0.389,3,3,2,5,5,5,5,5,2,2,4,5,5,3,173,Mid-Range
Shot Area,Left Corner 3,111,258,0.43,111,258,0.43,0.645,2,0.0,0.0,0.955,0.045,0.955,0.045,6,6,4,3,3,1,2,2,4,4,1,4,1,7,173,Left Corner 3
Shot Area,Right Corner 3,114,289,0.394,114,289,0.394,0.592,3,0.0,0.0,0.947,0.053,0.947,0.053,5,5,5,2,2,2,3,3,4,4,2,3,2,6,173,Right Corner 3
Shot Area,Above the Break 3,755,1983,0.381,755,1983,0.381,0.571,12,0.0,0.0,0.8,0.2,0.8,0.2,2,2,6,1,1,3,4,4,4,4,3,2,3,5,173,Above the Break 3
Shot Area,Backcourt,1,31,0.032,1,31,0.032,0.048,0,0.0,0.0,0.0,1.0,0.0,1.0,7,7,7,4,4,4,7,1,4,4,4,1,7,1,173,Backcourt
